date,text,sentiment_label,sentiment_score
2024-11-04 11:26:00,trump media stock prediction markets move eve election day,Neutral,0.9999934434890747
2024-11-04 10:22:00,tesla uber boost ev incentives offering 000 eco friendly driving,Positive,0.9999908208847046
2024-11-04 10:15:00,elon musk predicts fun second trump presidency mark cuban responds cratering economy blast,Neutral,0.9999591112136841
2024-11-04 09:54:00,tesla fsd fails detect deer nighttime collision raising safety concerns,Negative,0.9999966621398926
2024-11-04 09:46:00,tesla stock triggers sell signal booming byd eyes bev crown,Positive,0.9549660682678223
2024-11-04 09:44:00,barry diller elon musk deserved megalomaniac,Neutral,0.9988621473312378
2024-11-04 09:26:00,tesla ev sales china fall 5 3 october,Neutral,0.9921596646308899
2024-11-04 09:22:00,elon musk heads doge may unsettle tesla stock analyst,Neutral,0.9986594915390015
2024-11-04 09:19:00,elon musk big gamble tesla stock plunge kamala harris wins election,Neutral,0.9879649877548218
2024-11-04 08:20:00,chinese electric vehicle stocks rise deliveries jump october,Positive,0.9994152784347534
2024-11-04 08:10:00,teslas stock faces new risk trump defeat,Negative,0.9998800754547119
2024-11-04 07:27:00,tesla stock sixth straight day,Neutral,0.9999048709869385
2024-11-04 07:14:00,nvidia join dow election looms wall street yahoo finance,Neutral,0.9998455047607422
2024-11-04 07:00:00,tesla investors confuse valuation stock price says gary black investor sees recovery stock,Negative,0.9990442395210266
2024-11-04 05:58:00,chinas deeproute ai secures smart driving expansion,Positive,0.9999994039535522
2024-11-04 05:50:00,tesla stock threatens sell signal booming byd eyes bev crown,Negative,0.9981604218482971
2024-11-04 05:00:00,elon musk bet house trump matter wins musk lot lose,Neutral,0.9769814610481262
2024-11-04 05:00:00,election day elon muskwho isnt ballot,Neutral,0.9999773502349854
2024-11-04 04:36:00,tesla oct china made ev sales fall 5 3,Negative,0.9999022483825684
2024-11-04 03:39:00,elon musks response peanut squirrel causes surge pnut meme coin,Negative,0.9757272005081177
2024-11-04 02:58:00,xiaomi su7 ultra challenges porsche may intensify volkswagen struggles,Negative,0.9995002746582031
2024-11-04 02:00:00,muskonomics would mean donald trumps america,Neutral,0.9994543194770813
2024-11-03 20:57:00,china deeproute ai raises million smart driving adoption speeds,Positive,0.983548104763031
2024-11-03 16:54:00,tesla tsla stock risky bet future promises,Negative,0.9969360828399658
2024-11-03 16:42:00,tesla tumbles buy point byd eyes bev crown revenue tops u rival,Positive,0.8107823729515076
2024-11-03 15:11:00,trump loses election x also lose big time,Negative,0.999941349029541
2024-11-03 14:57:00,tesla inc tsla best consumer cyclical stocks buy according hedge funds,Neutral,0.9851800203323364
2024-11-03 12:49:00,musks tesla hits biden ban chinese car tech,Neutral,0.9527491927146912
2024-11-03 12:18:00,2024 election top portfolio plays trump harris victory,Positive,0.9999768733978271
2024-11-03 12:05:00,buy rivian shares fall,Positive,0.9999916553497314
2024-11-03 11:00:00,elon musk sold first company choice house mclaren f1 choice ties elusive tesla roadster,Neutral,0.9998041987419128
2024-11-03 08:00:00,presidents rich men,Neutral,0.9886441230773926
2024-11-03 00:20:00,china byd boosts production hiring amid q3 growth,Positive,1.0
2024-11-01 21:00:00,elon musks robotaxi dreams premature,Negative,0.9203291535377502
